metric,value
val_acc,0.8177304964539007
val_f1,0.8024751050239014
test_acc,0.8008241758241759
test_f1,0.7464495073009539
open_auroc,0.6625162585307106
open_eer,0.371453231633882
open_threshold,0.37742579602480625
