metric,value
val_acc,0.9715004191114837
val_f1,0.9715184672650528
test_acc,0.9819034852546917
test_f1,0.9821222017389687
open_auroc,0.5343780385582565
open_eer,0.4843273260687343
open_threshold,0.38869984247657924
